Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
10/2/16,うたの☆プリンスさまっ♪ マジLOVEレジェンドスター,A-1 Pictures,TOKYO MXほか,13,27,26
10/2/16,タイガーマスクW,東映アニメーション,EX,38,8,8
10/2/16,こねこのチー ポンポンらー大冒険,マーザ・アニメーションプラネット,TX,51,16,15
10/2/16,モンスターハンター ストーリーズ RIDE ON,david production,CX,75,24,21
10/2/16,カードファイト!! ヴァンガードG NEXT,OLM,TX,52,22,20
10/2/16,機動戦士ガンダム 鉄血のオルフェンズ（第2期）,サンライズ,MBS,25,23,22
10/2/16,SHOW BY ROCK!!#,ボンズ,TOKYO MX,12,15,13
10/2/16,雨色ココア in Hawaii,EMTスクエアード,TOKYO MX、サンテレビ,12,15,13
10/2/16,マジきゅんっ!ルネッサンス,サンライズ,TOKYO MXほか,13,13,13
10/2/16,おくさまが生徒会長!+!,セブン,AT-X、TVSほか,12,12,12
10/2/16,ペペペペン議員,DLE,TVO,13,7,7
10/3/16,刀剣乱舞-花丸-,動画工房,TOKYO MX,12,8,8
10/3/16,アイドルメモリーズ,セブン・アークス・ピクチャーズ,TOKYO MX,12,9,9
10/3/16,あおおに〜じ・あにめぇしょん〜,スタジオディーン,TX,13,15,15
10/3/16,怪盗ジョーカー（第4期）,シンエイ動画,TOKYO MX、KIDS STATION,13,12,12
10/3/16,12歳。〜ちっちゃなムネのトキメキ〜（第2期）,OLM,TOKYO MX、AT-Xほか,12,23,23
10/3/16,3ねんDぐみガラスの仮面,DLE,TOKYO MX,13,12,12
10/3/16,ステラのまほう,SILVER LINK.,AT-X、TOKYO MXほか,12,7,7
10/4/16,学園ハンサム,チーム欲求腐満[注8 1],TOKYO MX、BSフジ,12,6,6
10/4/16,TRICKSTER -江戸川乱歩「少年探偵団」より-,トムス・エンタテインメント、シンエイ動画,TOKYO MX、YTV,24,26,25
10/4/16,灼熱の卓球娘,キネマシトラス,TX,12,6,6
10/4/16,侍霊演武:将星乱,ぴえろ,TOKYO MX、MBS,12,8,8
10/4/16,信長の忍び,トムス・エンタテインメント,TOKYO MX、TVA,26,5,5
10/4/16,装神少女まとい,WHITE FOX,TOKYO MX、KBS京都,12,7,7
10/5/16,夏目友人帳 伍,朱夏,TX,11,7,6
10/5/16,ナンバカ,サテライト,MBS、TOKYO MX,13,4,4
10/5/16,CHEATING CRAFT,BLADE,TOKYO MX,12,14,13
10/5/16,美少女遊戯ユニット クレーンゲールギャラクシー,京風とまと,TOKYO MX、BSフジ,12,23,22
10/5/16,ナゾトキネ,天狗工房,TOKYO MXほか,12,5,5
10/5/16,てーきゅう（第8期）,ミルパンセ,TOKYO MX,12,10,10
10/5/16,奇異太郎少年の妖怪絵日記,Creators in Pack,TOKYO MX,12,12,12
10/5/16,魔法少女なんてもういいですから。 セカンドシーズン,PINE JAM,TOKYO MX,12,25,24
10/5/16,あにトレ!XX 〜ひとつ屋根の下で〜,ライジングフォース,TOKYO MX,12,18,17
10/6/16,響け! ユーフォニアム2,京都アニメーション,TOKYO MXほか,13,12,11
10/6/16,文豪ストレイドッグス（第2期）,ボンズ,独立局,12,15,15
10/6/16,ブレイブウィッチーズ,SILVER LINK.,独立局,12,10,10
10/6/16,ユーリ!!! on ICE,MAPPA,EX,12,13,11
10/6/16,フリップフラッパーズ,Studio 3Hz,AT-X、TOKYO MX、BSフジほか,13,10,10
10/6/16,競女!!!!!!!!,XEBEC,TOKYO MX,12,10,10
